Difficulty_Level;Skills;University;category_id
Beginner;matching  strategy  tracking  budget  online advertising  project  marketing strategy  conversion tracking  accounting  group key business marketing;Coursera Project Network;0
Advanced;thought  forensics  crime scene  forensic evidence  chemistry  crime  forensic science  dnas  analysis  dna lifesciences basicscience;"""Nanyang Technological University, Singapore""";1
Advanced;user interface  design pattern  java annotation  website wireframe  user experience  experience  web  interfaces  user interface design  web design artsandhumanities musicandart;California Institute of the Arts;1
Beginner;recommender systems  rulebased system  matrices  collaboration  similarity measure  relative change and difference  family  modeling  algorithms  preference datascience dataanalysis;EIT Digital;0
Beginner;international law  common law  environmental policy  environmental law  law  legal analysis  pollution  analysis  policy analysis  environmental protection socialsciences law;The University of North Carolina at Chapel Hill;0
Advanced;pro forma  bookkeeping  mergers  acquisitions  decision making  imessage  income statement  breakeven economics  financial statement  accounting  futures contract business businessessentials;University of Illinois at Urbana-Champaign;1
Advanced;augmented reality  3d interaction  user interface  virtual reality  redirected walking  graphical user interface  interaction design  interact  interfaces  hyperinteger computerscience designandproduct;University of London;1
Beginner;backup  sql server management studio  microsoft sql server  project  table database  sql server  sql  leadership and management  databases  switches informationtechnology datamanagement;Coursera Project Network;0
Advanced;pitch book  language  business communication  presentation  business presentations  communication  english language  business writing  writing  marketing strategy languagelearning learningenglish;University of Washington;1
Advanced;open space technology  open innovation  diffusion of innovations  visual basic  opensource robotics  service innovation  innovation  visual communication  open collaboration  open source business businessstrategy;Saint Petersburg State University;1
Beginner;adult  forensic biology  pathology  death  forensic anthropology  forensic science  forensics  ageing  anthropology  mandible socialsciences law;Princeton University;0
Intermediate;internet of things  internet  c programming  interfaces  java annotation  eeprom  arduino  ethernet  computer programming  wifi physicalscienceandengineering electricalengineering;"""University of California, Irvine""";2
Advanced;3d printing  electrical engineering  computer programming  mechanical engineering  arduino  computer program  microcontroller  electronics  internet of things  robotics physicalscienceandengineering electricalengineering;Moscow Institute of Physics and Technology;1
Advanced;compiler  electrical engineering  software  interfaces  computer programming  verilog  project  systems design  software engineering  portable document format physicalscienceandengineering electricalengineering;University of Colorado Boulder;1
Intermediate;awareness  security management  human behavior  information security  security  behavior  breach security exploit  seta  training  ransomware computerscience computersecurityandnetworks;University System of Georgia;2
Beginner;categorical data  c file inputoutput  data type  data visualization  data analysis  exploratory data analysis  analysis  correlation and dependence  summary statistics  matlab datascience dataanalysis;MathWorks;0
Advanced;market economics  product lining  market segmentation  competition law  strategy  game theory  pricing  competition economics  price discrimination  pricing strategies business marketing;University of Virginia;1
Advanced;interfaces  systems monitoring  networking hardware  java annotation  commandline interface  booting  unix  unix shells  file shortcut  bash unix shell computerscience softwaredevelopment;The Linux Foundation;1
