Course_Name;University;Difficulty_Level;Course_Description;Skills;category_id
Healthcare Data Quality and Governance;University of California, Davis;Intermediate;Career prospects are bright for those qualified to work with healthcare data or as Health Information Management (HIM) professionals. Perhaps you work in data analytics but are considering a move into healthcare, or you work in healthcare but are considering a transition into a new role. In either case, Healthcare Data Quality and Governance will provide insight into how valuable data assets are protected to maintain data quality. This serves care providers, patients, doctors, clinicians, and those who carry out the business of improving health outcomes.   Big Data makes headlines, but that data must be managed to maintain quality. High-quality data is one of the most valuable assets gathered and used by any business. This holds greater significance in healthcare where the maintenance and governance of data quality directly impact peopleï¿½s lives. This course will explain how data quality is improved and maintained. Youï¿½ll learn why data quality matters, then see how healthcare professionals monitor, manage and improve data quality. Youï¿½ll see how human and computerized systems interact to sustain data quality through data governance. Youï¿½ll discover how to measure data quality with metadata, tracking data provenance, validating and verifying data, along with a communication framework commonly used in healthcare settings.   This knowledge matters because high-quality data will be transformed into valuable insights that can save lives, reduce costs, to improve healthcare and make it more accessible and affordable. You will make yourself more of an asset in the healthcare field by what you gain from this course.;data governance  metadata  change control  verification and validation  data quality  committee  Data Analysis  Patient Care  electronic health record  technical support life-sciences health-informatics;2
Dimensionality Reduction using an Autoencoder in Python;Coursera Project Network;Beginner;In this 1-hour long project, you will learn how to generate your own high-dimensional dummy dataset. You will then learn how to preprocess it effectively before training a baseline PCA model. You will learn the theory behind the autoencoder, and how to train one in scikit-learn. You will also learn how to extract the encoder portion of it to reduce dimensionality of your input data. In the course of this project, you will also be exposed to some basic clustering strength metrics.  Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;Scikit-Learn  you�ll project  preprocessor  Python Programming  Machine Learning  Artificial Neural Networks  linearity  Autoencoder  variance  Dimensionality Reduction data-science machine-learning;0
Big Data, Artificial Intelligence, and Ethics;University of California, Davis;Beginner;This course gives you context and first-hand experience with the two major catalyzers of the computational science revolution: big data and artificial intelligence. With more than 99% of all mediated information in digital format and with 98% of the world population using digital technology, humanity produces an impressive digital footprint. In theory, this provides unprecedented opportunities to understand and shape society. In practice, the only way this information deluge can be processed is through using the same digital technologies that produced it. Data is the fuel, but machine learning it the motor to extract remarkable new knowledge from vasts amounts of data. Since an important part of this data is about ourselves, using algorithms in order to learn more about ourselves naturally leads to ethical questions. Therefore, we cannot finish this course without also talking about research ethics and about some of the old and new lines computational social scientists have to keep in mind. As hands-on labs, you will use IBM Watsonï¿½s artificial intelligence to extract the personality of people from their digital text traces, and you will experience the power and limitations of machine learning by teaching two teachable machines from Google yourself.;Machine Learning  personality  case study  footprint  Big Data  ethics of artificial intelligence  computational social science  ethics  research ethics  digital footprint data-science data-analysis;0
Solving Algorithms for Discrete Optimization;The University of Melbourne;Advanced;Discrete Optimization aims to make good decisions when we have many possibilities to choose from. Its applications are ubiquitous throughout our society. Its applications range from solving Sudoku puzzles to arranging seating in a wedding banquet.  The same technology can schedule planes and their crews, coordinate the production of steel, and organize the transportation of iron ore from the mines to the ports. Good decisions on the use of scarce or expensive resources such as staffing and material resources also allow corporations to improve their profit by millions of dollars.  Similar problems also underpin much of our daily lives and are part of determining daily delivery routes for packages, making school timetables, and delivering power to our homes. Despite their fundamental importance, these problems are a nightmare to solve using traditional undergraduate computer science methods.  This course is intended for students who have completed Advanced Modelling for Discrete Optimization.  In this course, you will extend your understanding of how to solve challenging discrete optimization problems by learning more about the solving technologies that are used to solve them, and how a high-level model (written in MiniZinc) is transformed into a form that is executable by these underlying solvers. By better understanding the actual solving technology, you will both improve your modeling capabilities, and be able to choose the most appropriate solving technology to use.  Watch the course promotional video here: https://www.youtube.com/watch?v=-EiRsK-Rm08;linear programming  local consistency  Algorithms  cutting-plane method  simplex algorithm  simulated annealing  discrete optimization  mathematical optimization  constraint programming  solver computer-science software-development;1
Entrepreneurship Strategy: From Ideation to Exit;HEC Paris;Advanced;This course covers in the chronological order each defining step of an entrepreneurial project. It begins with very personal considerations related to getting to better know yourself better so as to decide if you are ready for the multiple challenges of entrepreneurship. It then deals with creativity in order to provide the right set of tools to find an idea with the right potential to disrupt an existing business. We then discuss how to gather a founding team, how to raise money to initiate the project, and how to deal with day to day cash management. Later in the course, we discuss the art of selling, focusing on business to business sales, and how to measure the product launch phase using cohort analysis. Later on, we discuss the challenges of HR in an entrepreneurial environment, and of recruiting at a point where nobody knows your company. We then describe very practical techniques to initiate the international development of a small company. Last, we cover the exit strategy topic.;Sales Strategy  Finance  exit (system call)  Leadership and Management  Business Strategy  exit strategy  leadership  Strategy  Sales  Entrepreneurship business leadership-and-management;1
Introduction to Integrative Nursing;University of Minnesota;Beginner;This course is designed for nurses who are drawn to practice in a different way ï¿½ nurses who value whole-person care and know that the essence of nursing practice is truly caring and healing. You will learn about the principles and practices of Integrative Nursing and how you can be a healing presence to all you serve. Then, you will do an integrative assessment and apply the principles of Integrative Nursing to improve symptom management and overall patient outcomes. Finally, you will explore ways to become a leader in Integrative Nursing and create new patient care models.   Continuing Education Credits This course has been designed to meet Minnesota Board of Nursing continuing education requirements for 12 contact hours and may be eligible for CE credit from other professional boards that allow self-documenting of continuing education activities. It is your responsibility to check with your regulatory board to confirm this course meets your local requirements and, if necessary, to provide them with the certificate of completion you get if you pay for and fulfill all the requirements of this course.;Leadership and Management  nursing management  Patient Care  women's health  nursing  guided meditation  medicine  nursing education  nursing care plan  nurse education life-sciences patient-care;0
Renewable Energy and Green Building Entrepreneurship;Duke University;Intermediate;Welcome to the course where you learn to launch a new business in the energy, finance, real estate, design, engineering, or environmental sectors, while also helping you create positive environmental and human health impacts around the world.  We will integrate tools, trends, and tips from the field of entrepreneurship as a career path for making a difference and generating wealth in the renewable energy and green building sectors.  This is not a course about theory. Instead, we focus on real world application, step-by-step advice, and case studies.  After completing this course, students will be able to:  - Define key business opportunities, challenges, and potential solutions in the renewable energy and green building sectors. - Analyze a successful business in renewable energy or green building. - Identify 2 to 3 problems you might solve with either renewable energy or green building products or services.  - Plan for engaging with investors who might finance a new business. - Take real world first steps towards launching a new business or corporate initiative, by applying the 1-page business idea summary template and the Business Model Canvas to generating and refining your own new business ideas.;energy  Finance  sustainability  renewable energy  Innovation  Entrepreneurial Finance  Entrepreneurship  Green Building  Green Energy  modeling business entrepreneurship;2
Clinical Natural Language Processing;University of Colorado System;Advanced;This course teaches you the fundamentals of clinical natural language processing (NLP). In this course you will learn the basic linguistic principals underlying NLP, as well as how to write regular expressions and handle text data in R. You will also learn practical techniques for text processing to be able to extract information from clinical notes.  Finally, you will have a chance to put your skills to the test with a real-world practical application where you develop text processing algorithms to identify diabetic complications from clinical notes. You will complete this work using a free, online computational environment for data science hosted by our Industry Partner Google Cloud.;linguistics  corpora  Natural Language Processing  stemming  radiology  matching  extract  regular expression  pragmatics  natural language data-science data-analysis;1
Perform Sentiment Analysis with scikit-learn;Coursera Project Network;Beginner;In this project-based course, you will learn the fundamentals of sentiment analysis, and build a logistic regression model to classify movie reviews as either positive or negative. We will use the popular IMDB data set. Our goal is to use a simple logistic regression estimator from scikit-learn for document classification.  This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your internet browser so you can just focus on learning. For this project, youï¿½ll get instant access to a cloud desktop with Python, Jupyter, and scikit-learn pre-installed.  Notes: -  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want. - This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;natural language  language  Logistic Regression  Machine Learning  analysis  hyperparameter  natural language toolkit  Scikit-Learn  Regression Analysis  sentiment analysis data-science machine-learning;0
The Making of the US President: A Short History in Five Elections;The University of Edinburgh;Intermediate;As Donald Trump takes office as the forty-fifth president of the United States, this course explores presidential elections in historical perspective, via five case studies. It tells the story of key campaigns in US history, and by doing so it investigates how politics changed over timeï¿½and how understanding the past sheds light on the current campaign. From the arrival of dirty politics to the impact of the digital revolution; the course looks at the historical background to some of the key phenomena that shaped the controversy-laden campaign of 2016.  The five elections that we'll investigate are among the most significant in American political history. In 1800, Thomas Jefferson won the presidency in a contest that encouraged politicians to reform the electoral college, the system by which presidents are still chosen. The election of Abraham Lincoln in 1860 prompted the outbreak of the Civil War. It's an election that helps us to understand the development of political parties. In 1968, the Vietnam War was a dominant concern for Americans, and yet foreign policy played a secondary role in Richard Nixon's victory. Twelve years later, in 1980, Ronald Reagan won an election that initiated a new era of conservatism. Finally, we'll turn our attention to the election that took Trump's predecessor, Barack Obama, to the White House in 2008. Many saw the Obama's success not only as revealing the impact of the digital revolution on campaign politics, but also as signaling a turn to progressivism.    Image credits:  Course logo - Former President Truman holds a copy of the famous Chicago Daily Tribune paper declaring 'Dewey Defeats Truman' Harry S. Truman Library & Museum (https://www.trumanlibrary.org/photographs/view.php?id=38592).  Course banner - US Flag Backlit by Joshua Nathanson, CC BY-SA 3.0 (https://commons.wikimedia.org/wiki/File:US_Flag_Backlit.jpg).;2
